A person is doing Head flexion with static pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip extension with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip extension with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip extension with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip extension with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip extension with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip extension with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip abduction with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip abduction with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip abduction with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip abduction with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip abduction with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip abduction with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip adduction with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip adduction with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip adduction with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip adduction with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip adduction with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip adduction with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip internal rotation with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip internal rotation with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip internal rotation with fast pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip external rotation with static pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip external rotation with static pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and single temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and repeated temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and alternating temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and sequential temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Right Leg hip external rotation with slow pace, high intensity, and smooth temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and single temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and repeated temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and alternating temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and sequential temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, low intensity, and smooth temporal pattern.
A person is doing Right Leg hip external rotation with fast pace, high intensity, and single temporal pattern.
